Views;Name;Person ID;Link;URI
484803;Wentworth Miller;Q484662;https://de.wikipedia.org/wiki/Wentworth_Miller;http://www.wikidata.org/entity/Q484662
475380;Cameron Diaz;Q44380;https://de.wikipedia.org/wiki/Cameron_Diaz;http://www.wikidata.org/entity/Q44380
473595;Morgan Freeman;Q48337;https://de.wikipedia.org/wiki/Morgan_Freeman;http://www.wikidata.org/entity/Q48337
469263;Reese Witherspoon;Q44063;https://de.wikipedia.org/wiki/Reese_Witherspoon;http://www.wikidata.org/entity/Q44063
467048;Sam Claflin;Q366833;https://de.wikipedia.org/wiki/Sam_Claflin;http://www.wikidata.org/entity/Q366833
464709;Matthew McConaughey;Q188955;https://de.wikipedia.org/wiki/Matthew_McConaughey;http://www.wikidata.org/entity/Q188955
461651;Kevin Spacey;Q25144;https://de.wikipedia.org/wiki/Kevin_Spacey;http://www.wikidata.org/entity/Q25144
460862;Michaela Schaffrath;Q76676;https://de.wikipedia.org/wiki/Michaela_Schaffrath;http://www.wikidata.org/entity/Q76676
454134;Priscilla Presley;Q234773;https://de.wikipedia.org/wiki/Priscilla_Presley;http://www.wikidata.org/entity/Q234773
452463;Tina Turner;Q131814;https://de.wikipedia.org/wiki/Tina_Turner;http://www.wikidata.org/entity/Q131814
452283;Kristen Stewart;Q126599;https://de.wikipedia.org/wiki/Kristen_Stewart;http://www.wikidata.org/entity/Q126599
449411;John Travolta;Q80938;https://de.wikipedia.org/wiki/John_Travolta;http://www.wikidata.org/entity/Q80938
447118;Anthony Hopkins;Q65932;https://de.wikipedia.org/wiki/Anthony_Hopkins;http://www.wikidata.org/entity/Q65932
446282;Megan Fox;Q80069;https://de.wikipedia.org/wiki/Megan_Fox;http://www.wikidata.org/entity/Q80069
445542;Debbie Reynolds;Q263696;https://de.wikipedia.org/wiki/Debbie_Reynolds;http://www.wikidata.org/entity/Q263696
444475;Caitlyn Jenner;Q365144;https://de.wikipedia.org/wiki/Caitlyn_Jenner;http://www.wikidata.org/entity/Q365144
443208;Norman Reedus;Q503545;https://de.wikipedia.org/wiki/Norman_Reedus;http://www.wikidata.org/entity/Q503545
440280;John Cena;Q44437;https://de.wikipedia.org/wiki/John_Cena;http://www.wikidata.org/entity/Q44437
432389;Amy Adams;Q481832;https://de.wikipedia.org/wiki/Amy_Adams;http://www.wikidata.org/entity/Q481832
431448;Anne Hathaway;Q36301;https://de.wikipedia.org/wiki/Anne_Hathaway;http://www.wikidata.org/entity/Q36301
429236;Ruby O. Fee;Q1472783;https://de.wikipedia.org/wiki/Ruby_O._Fee;http://www.wikidata.org/entity/Q1472783
426757;Peter Dinklage;Q310937;https://de.wikipedia.org/wiki/Peter_Dinklage;http://www.wikidata.org/entity/Q310937
426428;Emma Roberts;Q228598;https://de.wikipedia.org/wiki/Emma_Roberts;http://www.wikidata.org/entity/Q228598
422942;Chuck Norris;Q2673;https://de.wikipedia.org/wiki/Chuck_Norris;http://www.wikidata.org/entity/Q2673
418321;Julianne Moore;Q80405;https://de.wikipedia.org/wiki/Julianne_Moore;http://www.wikidata.org/entity/Q80405
418301;Ashton Kutcher;Q164782;https://de.wikipedia.org/wiki/Ashton_Kutcher;http://www.wikidata.org/entity/Q164782
416754;Jack Nicholson;Q39792;https://de.wikipedia.org/wiki/Jack_Nicholson;http://www.wikidata.org/entity/Q39792
412891;Olivia Wilde;Q200355;https://de.wikipedia.org/wiki/Olivia_Wilde;http://www.wikidata.org/entity/Q200355
412158;Robin Wright;Q272972;https://de.wikipedia.org/wiki/Robin_Wright;http://www.wikidata.org/entity/Q272972
