Views;Name;Person ID;Link;URI
316741;Winfried Kretschmann;Q61051;https://de.wikipedia.org/wiki/Winfried_Kretschmann;http://www.wikidata.org/entity/Q61051
316574;Petra Hinz;Q1395295;https://de.wikipedia.org/wiki/Petra_Hinz;http://www.wikidata.org/entity/Q1395295
314111;Volker Beck;Q57322;https://de.wikipedia.org/wiki/Volker_Beck;http://www.wikidata.org/entity/Q57322
310310;Malcolm X;Q43303;https://de.wikipedia.org/wiki/Malcolm_X;http://www.wikidata.org/entity/Q43303
306592;Margaret Thatcher;Q7416;https://de.wikipedia.org/wiki/Margaret_Thatcher;http://www.wikidata.org/entity/Q7416
299521;Ted Cruz;Q2036942;https://de.wikipedia.org/wiki/Ted_Cruz;http://www.wikidata.org/entity/Q2036942
298775;Gregor Gysi;Q65126;https://de.wikipedia.org/wiki/Gregor_Gysi;http://www.wikidata.org/entity/Q65126
292505;Michelle Obama;Q13133;https://de.wikipedia.org/wiki/Michelle_Obama;http://www.wikidata.org/entity/Q13133
292179;Karl-Theodor zu Guttenberg;Q76924;https://de.wikipedia.org/wiki/Karl-Theodor_zu_Guttenberg;http://www.wikidata.org/entity/Q76924
285731;Oskar Lafontaine;Q110719;https://de.wikipedia.org/wiki/Oskar_Lafontaine;http://www.wikidata.org/entity/Q110719
285453;Theresa May;Q264766;https://de.wikipedia.org/wiki/Theresa_May;http://www.wikidata.org/entity/Q264766
281821;David Cameron;Q192;https://de.wikipedia.org/wiki/David_Cameron;http://www.wikidata.org/entity/Q192
281666;Cem Özdemir;Q12839;https://de.wikipedia.org/wiki/Cem_%C3%96zdemir;http://www.wikidata.org/entity/Q12839
274917;Claudia Roth;Q75791;https://de.wikipedia.org/wiki/Claudia_Roth;http://www.wikidata.org/entity/Q75791
267067;Jimmy Carter;Q23685;https://de.wikipedia.org/wiki/Jimmy_Carter;http://www.wikidata.org/entity/Q23685
263300;Dan Bilzerian Cohuo;Q16199296;https://de.wikipedia.org/wiki/Dan_Bilzerian;http://www.wikidata.org/entity/Q16199296
260452;Jörg Haider;Q44274;https://de.wikipedia.org/wiki/J%C3%B6rg_Haider;http://www.wikidata.org/entity/Q44274
254735;Lothar Späth;Q69349;https://de.wikipedia.org/wiki/Lothar_Sp%C3%A4th;http://www.wikidata.org/entity/Q69349
250031;Bernd Lucke;Q823840;https://de.wikipedia.org/wiki/Bernd_Lucke;http://www.wikidata.org/entity/Q823840
248633;Robert F. Kennedy;Q25310;https://de.wikipedia.org/wiki/Robert_F._Kennedy;http://www.wikidata.org/entity/Q25310
242702;Vicky Leandros;Q160772;https://de.wikipedia.org/wiki/Vicky_Leandros;http://www.wikidata.org/entity/Q160772
242380;Wolfgang Bosbach;Q102506;https://de.wikipedia.org/wiki/Wolfgang_Bosbach;http://www.wikidata.org/entity/Q102506
239321;Joschka Fischer;Q57344;https://de.wikipedia.org/wiki/Joschka_Fischer;http://www.wikidata.org/entity/Q57344
237968;Markus Söder;Q50664;https://de.wikipedia.org/wiki/Markus_S%C3%B6der;http://www.wikidata.org/entity/Q50664
234625;Thomas Strobl;Q112109;https://de.wikipedia.org/wiki/Thomas_Strobl;http://www.wikidata.org/entity/Q112109
231061;Manuela Schwesig;Q72845;https://de.wikipedia.org/wiki/Manuela_Schwesig;http://www.wikidata.org/entity/Q72845
230735;Pelé;Q12897;https://de.wikipedia.org/wiki/Pel%C3%A9;http://www.wikidata.org/entity/Q12897
230601;Andrea Nahles;Q62810;https://de.wikipedia.org/wiki/Andrea_Nahles;http://www.wikidata.org/entity/Q62810
230479;Heinz-Christian Strache;Q44733;https://de.wikipedia.org/wiki/Heinz-Christian_Strache;http://www.wikidata.org/entity/Q44733
229599;Heinz Fischer;Q11753;https://de.wikipedia.org/wiki/Heinz_Fischer;http://www.wikidata.org/entity/Q11753
227549;Justin Trudeau;Q3099714;https://de.wikipedia.org/wiki/Justin_Trudeau;http://www.wikidata.org/entity/Q3099714
224747;Mike Pence;Q24313;https://de.wikipedia.org/wiki/Mike_Pence;http://www.wikidata.org/entity/Q24313
222856;Boris Yeltsin;Q34453;https://de.wikipedia.org/wiki/Boris_Nikolajewitsch_Jelzin;http://www.wikidata.org/entity/Q34453
220991;Vitali Klitschko;Q31919;https://de.wikipedia.org/wiki/Vitali_Klitschko;http://www.wikidata.org/entity/Q31919
220863;Henry Kissinger;Q66107;https://de.wikipedia.org/wiki/Henry_Kissinger;http://www.wikidata.org/entity/Q66107
215247;Katrin Göring-Eckardt;Q48967;https://de.wikipedia.org/wiki/Katrin_G%C3%B6ring-Eckardt;http://www.wikidata.org/entity/Q48967
208909;Christian Wulff;Q2540;https://de.wikipedia.org/wiki/Christian_Wulff;http://www.wikidata.org/entity/Q2540
208142;Werner Faymann;Q53282;https://de.wikipedia.org/wiki/Werner_Faymann;http://www.wikidata.org/entity/Q53282
207708;Peter Hintze;Q87642;https://de.wikipedia.org/wiki/Peter_Hintze;http://www.wikidata.org/entity/Q87642
204143;Nancy Reagan;Q193426;https://de.wikipedia.org/wiki/Nancy_Reagan;http://www.wikidata.org/entity/Q193426
202544;Irmgard Griss;Q18626047;https://de.wikipedia.org/wiki/Irmgard_Griss;http://www.wikidata.org/entity/Q18626047
202085;Horst Köhler;Q2542;https://de.wikipedia.org/wiki/Horst_K%C3%B6hler;http://www.wikidata.org/entity/Q2542
199635;Joe Biden;Q6279;https://de.wikipedia.org/wiki/Joe_Biden;http://www.wikidata.org/entity/Q6279
197882;Jean-Claude Juncker;Q57661;https://de.wikipedia.org/wiki/Jean-Claude_Juncker;http://www.wikidata.org/entity/Q57661
197660;Michel Friedman;Q95237;https://de.wikipedia.org/wiki/Michel_Friedman;http://www.wikidata.org/entity/Q95237
